code,area,total_2016,total_2017,total_2018,total_2019,a8_2016,a8_2017,a8_2018,a8_2019,p8_2016,p8_2017,p8_2018,p8_2019,boy_2016,boy_2017,boy_2018,boy_2019,a8_b_2016,a8_b_2017,a8_b_2018,a8_b_2019,p8_b_2016,p8_b_2017,p8_b_2018,p8_b_2019,girl_2016,girl_2017,girl_2018,girl_2019,a8_g_2016,a8_g_2017,a8_g_2018,a8_g_2019,p8_g_2016,p8_g_2017,p8_g_2018,p8_g_2019
E09000002,Barking_and_Dagenham,"2,201","2,185","2,199","2,353",49.7,46.7,46.1,46.4,0.15,0.23,0.17,0.16,"1,110","1,146","1,119","1,245",47.6,43.5,43.3,43.7,-0.02,0.01,0,-0.06,"1,091","1,039","1,080","1,108",51.8,50.1,49.1,49.4,0.32,0.47,0.34,0.4
E09000003,Barnet,"3,647","3,528","3,810","3,804",56.1,54.7,56,57.1,0.33,0.47,0.57,0.57,"1,856","1,811","1,978","1,986",54.6,52.3,53.1,54.9,0.22,0.25,0.33,0.35,"1,791","1,717","1,832","1,818",57.5,57.2,59.1,59.4,0.44,0.7,0.83,0.82
E09000004,Bexley,"3,192","3,141","3,032","3,115",52.2,49,49.6,49.6,-0.04,-0.05,-0.1,-0.09,"1,641","1,558","1,508","1,577",50,46.5,46.9,46.8,-0.16,-0.23,-0.33,-0.35,"1,551","1,583","1,524","1,538",54.6,51.5,52.3,52.5,0.08,0.12,0.12,0.16
E09000005,Brent,"3,035","2,908","2,858","3,038",51.5,49,49.9,50.2,0.31,0.49,0.54,0.47,"1,515","1,444","1,480","1,525",49.2,46.8,47.7,47.2,0.15,0.32,0.34,0.18,"1,520","1,464","1,378","1,513",53.7,51.1,52.2,53.2,0.46,0.66,0.75,0.76
E09000006,Bromley,"3,305","3,258","3,214","3,312",53.7,49.8,50.3,50.8,0.1,0.12,0.03,0.03,"1,587","1,568","1,614","1,599",52.4,46.9,46.6,47.5,0.04,-0.12,-0.24,-0.29,"1,718","1,690","1,600","1,713",54.9,52.5,53.9,54,0.15,0.34,0.31,0.33
E09000007,Camden,"1,422","1,513","1,533","1,571",50.6,48.3,48,48.6,0,0.05,0.07,0.09,605,635,649,646,45.8,44.3,42,42.7,-0.3,-0.24,-0.37,-0.42,817,878,884,925,54.1,51.2,52.4,52.7,0.23,0.26,0.39,0.45
E09000008,Croydon,"3,844","3,579","3,452","3,640",48.5,45,45.8,45.5,0.08,0.06,0.07,0.07,"1,885","1,716","1,669","1,802",45.1,41.3,42.4,42.4,-0.07,-0.19,-0.15,-0.17,"1,959","1,863","1,783","1,838",51.9,48.5,49,48.5,0.22,0.28,0.27,0.31
E09000009,Ealing,"2,781","2,722","2,853","2,956",50.9,48.7,50,50.9,0.28,0.42,0.53,0.58,"1,427","1,393","1,393","1,507",48.5,46.1,47.2,47.9,0.13,0.23,0.29,0.32,"1,354","1,329","1,460","1,449",53.5,51.5,52.6,54.1,0.44,0.61,0.76,0.84
E09000010,Enfield,"3,579","3,487","3,414","3,606",50.4,46.2,46.3,46.5,0.05,0.07,0.08,0.12,"1,808","1,864","1,745","1,840",48.2,44.1,43.2,43.7,-0.12,-0.14,-0.21,-0.16,"1,771","1,623","1,669","1,766",52.7,48.6,49.5,49.4,0.23,0.31,0.39,0.42
E09000011,Greenwich,"2,204","2,166","2,269","2,364",49.6,45.9,44.5,45.3,-0.01,-0.05,-0.18,-0.18,"1,093","1,135","1,151","1,171",47.7,43.3,42,42.7,-0.1,-0.26,-0.34,-0.39,"1,111","1,031","1,118","1,193",51.5,48.8,47.1,47.8,0.08,0.19,-0.02,0.03
